Value,Description,Category
ngo,NGO offices,3www
hub,UN Centres,3www
www,Who / What / Where location,3www
ad4,Administrative boundary (level 4),admin
ad5,Administrative boundary (level 5),admin
ad6,Administrative boundary (level 6),admin
ad0,Administrative boundary (level 0 national),admn
ad1,Administrative boundary (level 1),admn
ad2,Administrative boundary (level 2),admn
ad3,Administrative boundary (level 3),admn
ad,Administrative boundary (various levels),admn
cnt,Continent boundary,admn
pco,Pcode list,admn
reg,Region,admn
idp,IDP numbers,affd
agr,Agriculture,agri
irr,Irrigation,agri
pho,Photo location,assm
pnt,Point visited,assm
trk,Track / route (planned or taken),assm
bdg,Building,bldg
com,Commercial building,bldg
dam,Damaged building,bldg
des,Destroyed building,bldg
res,Residential building,bldg
cli,Clipping polygon,carto
ddp,Data driven pages index grid,carto
fea,Feather / vignette for shoreline,carto
grd,Grid,carto
lat,Lat/Long Grid,carto
tim,Time Zone,carto
utm,UTM,carto
ref,Refugee location,cccm
edu,School,educ
cst,Coastline,elev
con,Contour,elev
dem,Digital Elevation Model,elev
dtm,Digital Terrain Model,elev
hts,Height Spots,elev
hsh,Hill Shade,elev
unc,Undersea features,elev
env,Environmental,envi
ecl,Emergency clinic,heal
epd,Epidemic,heal
hos,Hospitals / Medical Centres,heal
med,Medical facilities,heal
aer,Aerial photography,imgy
sat,Generic satellite imagery,imgy
iko,Ikonos,imgy
lsa,Landsat,imgy
qbd,QuickBird,imgy
spo,Spot,imgy
ind,Industrial,land
lnd,Landcover,land
lea,Lease,land
npk,National Park,land
res,Nature and Ethnic Reserves,land
urb,Urban,land
veg,Vegetation,land
wal,Wall,land
wwf,WWF,land
log,Logistics,logs
dis,Warehouses / Distribution Centres,logs
bay,Bay,phys
cav,Cave,phys
dam,Dam,phys
des,Desert,phys
drn,Drainage,phys
esc,Escapment,phys
flt,Flat ground,phys
geol,Geology,phys
geophys,Geophysical,phys
gey,Geyser,phys
gul,Gulf,phys
hed,Headland / promontory / point,phys
hil,Hill features,phys
ice,Ice & Glaciers,phys
isl,Islands / islets,phys
lag,Lagoon,phys
lak,Lakes and waterbodies,phys
sli,Landslide,phys
lav,Lava flow,phys
mar,Marsh / swamp,phys
nat,Natural,phys
nun,Nunatak,phys
oas,Oasis,phys
ocn,Ocean,phys
pla,Plains / open expanses,phys
ree,Reef,phys
rid,Ridge,phys
riv,River,phys
bas,River Basin,phys
slp,Slope,phys
spr,Spring,phys
sur,Surface,phys
val,Valley,phys
vol,Volcano location,phys
wad,Wadi,phys
wat,Watershed,phys
wea,Weather,phys
cus,Customs,pois
gov,Government buildings,pois
his,Historical sites,pois
lod,Lodgings / hotels / guest houses,pois
mon,Monument,pois
nav,Navigational markers,pois
off,Offices,pois
pho,Photo location,pois
rel,Religeous buildings,pois
ser,Services / banks / post offices,pois
sit,Sites of interest,pois
spt,Sport facilities,pois
twr,Towers,pois
vet,Veterinary Facilities,pois
wei,Weir,pois
wel,Well,pois
zoo,Zoo,pois
cas,Casualty number location,popu
cul,Cultural region,popu
eth,Ethnic group,popu
lan,Language distribution,popu
mov,Movements of Population,popu
pop,Population distribution,popu
cem,Cemetery,rcvy
sca,Map scan,scan
erw,Explosive Remnants of War,scty
haz,Hazards,scty
min,Mine fields,scty
mts,Mine threat status (roads),scty
sbu,Security buffer,scty
sec,Security status,scty
uxo,Unexploded Ordnance,scty
shl,Shelter,shel
aff,Affected area,situ
aoi,Area of Interest,situ
dmg,Damage,situ
epi,Earthquake / Tsunami Epicentre,situ
ebu,Earthquake buffer,situ
flo,Flood extents,situ
gps,GPS survey,situ
cmp,Camp,stle
stl,Settlement (city / town / populated place),stle
tel,Mobile Telephone Coverage,telc
air,Airport / Airstrip,tran
brg,Bridge,tran
bst,Bus station,tran
can,Canal,tran
fer,Ferry,tran
hlz,Heliport,tran
hwy,Highway,tran
rrd,Railway / railroad,tran
rst,Railway station,tran
rds,Road,tran
rdi,Road Distances,tran
por,Seaport,tran
tun,Tunnel,tran
chn,Channels,trans
frd,Fords / crossings,trans
gat,Gates / barriers,trans
trx,Tracks,trans
com,Communication structures / radio / TV masts,util
fue,Fuel depot,util
mil,Military installations,util
mor,Morgue and location for storage of dead,util
ppl,Pipeline,util
law,Police / prisons / law inforcement,util
pwl,Power Line,util
pst,Power Station,util
rsq,Rescue services / coast guards,util
san,Sanitation / waste facilities / landfill,util
wes,Water and sanitation,wash
